match_date,competition_name,home_team,home_score,home_elo,home_tries,home_conversion,home_penalty,home_kick,away_team,away_score,away_elo,away_tries,away_conversion,away_penalty,away_kick
2001-10-26,Rugby World Cup Qualifier,Belgium,15,2478,0,0,5,0,Switzerland,22,2491,1,1,5,0
2001-10-26,Rugby World Cup Qualifier,Denmark,33,2409,3,3,4,0,Sweden,21,2558,3,3,0,0
2001-10-26,Rugby World Cup Qualifier,Cameroon,24,2496,3,3,1,0,Madagascar,30,2541,3,3,3,0
2001-10-26,Rugby World Cup Qualifier,Brazil,51,2500,6,6,3,0,Peru,9,2471,0,0,3,0
2001-11-02,Rugby World Cup Qualifier,Czech Republic,26,2523,2,2,4,0,Ukraine,8,2579,1,0,1,0
2001-11-02,Rugby World Cup Qualifier,Denmark,19,2403,1,1,4,0,Poland,26,2593,2,2,4,0
2001-11-02,Rugby World Cup Qualifier,Colombia,12,2470,0,0,4,0,Brazil,47,2514,5,5,4,0
2001-11-09,Premiership Rugby,Northampton Saints,13,2569,1,1,2,0,Harlequins,13,2445,1,1,2,0
2001-11-09,Rugby World Cup Qualifier,Croatia,18,2590,0,0,6,0,Switzerland,16,2484,1,1,3,0
2001-11-09,Rugby World Cup Qualifier,Germany,34,2470,4,4,2,0,Denmark,24,2395,3,3,1,0
2001-11-10,Premiership Rugby,Gloucester Rugby,51,2541,6,6,3,0,Bristol Rugby,17,2479,2,2,1,0
2001-11-11,Premiership Rugby,Bath Rugby,19,2609,1,1,4,0,London Irish,11,2521,1,0,2,0
2001-11-11,Premiership Rugby,Yorkshire Carnegie,37,2507,4,4,3,0,Leicester Tigers,16,2768,1,1,3,0
2001-11-11,Premiership Rugby,Wasps,30,2556,3,3,3,0,Newcastle Falcons,33,2543,3,3,4,0
2001-11-11,Premiership Rugby,Saracens,26,2597,2,2,4,0,Sale Sharks,25,2473,1,1,6,0
2001-11-16,Premiership Rugby,Harlequins,43,2466,4,4,5,0,Saracens,6,2576,0,0,2,0
2001-11-16,Rugby World Cup Qualifier,Brazil,14,2524,2,2,0,0,Venezuela,3,2518,0,0,1,0
2001-11-16,Rugby World Cup Qualifier,Peru,31,2485,4,4,1,0,Colombia,10,2456,1,1,1,0
2001-11-17,Premiership Rugby,Sale Sharks,3,2468,0,0,1,0,Leicester Tigers,37,2773,4,4,3,0
2001-11-18,Premiership Rugby,Wasps,64,2568,7,7,5,0,Yorkshire Carnegie,14,2495,2,2,0,0
2001-11-18,Premiership Rugby,Newcastle Falcons,18,2552,0,0,6,0,Gloucester Rugby,16,2531,1,1,3,0
2001-11-18,Premiership Rugby,Bristol Rugby,31,2492,4,4,1,0,Bath Rugby,17,2596,2,2,1,0
2001-11-18,Premiership Rugby,London Irish,48,2538,6,6,2,0,Northampton Saints,12,2552,0,0,4,0
2001-11-19,Rugby World Cup Qualifier,Jamaica,5,2483,1,0,0,0,Trinidad and Tobago,51,2500,6,6,3,0
